observation_date,POPTOTFJA647NWDB
1/1/1960,401841
1/1/1961,414534
1/1/1962,427695
1/1/1963,441385
1/1/1964,455214
1/1/1965,469010
1/1/1966,482358
1/1/1967,494632
1/1/1968,505979
1/1/1969,516952
1/1/1970,527634
1/1/1971,538000
1/1/1972,547918
1/1/1973,557244
1/1/1974,566296
1/1/1975,575804
1/1/1976,586607
1/1/1977,599289
1/1/1978,613611
1/1/1979,628859
1/1/1980,644582
1/1/1981,660630
1/1/1982,676967
1/1/1983,693593
1/1/1984,710561
1/1/1985,727461
1/1/1986,742658
1/1/1987,754778
1/1/1988,764370
1/1/1989,772704
1/1/1990,780430
1/1/1991,784832
1/1/1992,786859
1/1/1993,789198
1/1/1994,790803
1/1/1995,792246
1/1/1996,796538
1/1/1997,804572
1/1/1998,813947
1/1/1999,823422
1/1/2000,832509
1/1/2001,841320
1/1/2002,849891
1/1/2003,858306
1/1/2004,866694
1/1/2005,874923
1/1/2006,883083
1/1/2007,890648
1/1/2008,896731
1/1/2009,901383
1/1/2010,905169
1/1/2011,908355
1/1/2012,911059
1/1/2013,913453
1/1/2014,915560
1/1/2015,917200
1/1/2016,918371
1/1/2017,919019
1/1/2018,918996
1/1/2019,918465
1/1/2020,920422
1/1/2021,924610
1/1/2022,929766
1/1/2023,936375
